word,pinyin,meaning
的,de,"['aim', 'clear']"
我,wǒ,"['I', 'me', 'my']"
你,nǐ,"['you (informal, as opposed to courteous 您[nin2])']"
了,le,['unofficial variant of 瞭[liao4]']
是,shì,"['variant of 是[shi4]', '(used in given names)']"
啊,a,"['modal particle ending sentence, showing affirmation, approval, or consent']"
不,bù,"['(negative prefix)', 'not', 'no']"
哈哈,hāhā,['(onom.) laughing out loud']
好,hǎo,"['to be fond of', 'to have a tendency to', 'to be prone to']"
有,yǒu,"['to have', 'there is', 'there are', 'to exist', 'to be']"
都,dū,"['capital city', 'metropolis']"
就,jìu,"['at once', 'right away', 'only', 'just (emphasis)', 'as early as', 'already', 'as soon as', 'then', 'in that case', 'as many as', 'even if', 'to approach', 'to move towards', 'to undertake', 'to engage in', 'to suffer', 'subjected to', 'to accomplish', 'to take advantage of', 'to go with (of foods)', 'with regard to', 'concerning']"
也,yě,"['also', 'too', '(in Classical Chinese) final particle implying affirmation']"
在,zài,"['(located) at', '(to be) in', 'to exist', 'in the middle of doing sth', '(indicating an action in progress)']"
这,zhè,"['this', 'these', '(commonly pr. [zhei4] before a classifier, esp. in Beijing)']"
没,méi,"['drowned', 'to end', 'to die', 'to inundate']"
去,qù,"['to go', 'to go to (a place)', '(of a time etc) last', 'just passed', 'to send', 'to remove', 'to get rid of', 'to reduce', 'to be apart from in space or time', 'to die (euphemism)', 'to play (a part)', '(when used either before or after a verb) to go in order to do sth', '(after a verb of motion indicates movement away from the speaker)', '(used after certain verbs to indicate detachment or separation)']"
很,hěn,"['(adverb of degree)', 'quite', 'very', 'awfully']"
人,rén,"['man', 'person', 'people', 'CL:個|个[ge4],位[wei4]']"
吧,ba,"['(modal particle indicating suggestion or surmise)', '...right?', '...OK?', '...I presume.']"
要,yào,"['important', 'vital', 'to want', 'to ask for', 'will', 'going to (as future auxiliary)', 'may', 'must', '(used in a comparison) must be', 'probably', 'if']"
还,huán,"['to pay back', 'to return']"
说,shuō,"['to speak', 'to say', 'to explain', 'to scold', 'to tell off', 'a theory (usually in compounds such as 日心说 heliocentric theory)']"
